id,name,birth_date,region
1,Nur Karimov,1993-03-31,Jizzakh
2,Javlon Axmadova,1952-05-10,Andijan
3,Kamila Rashidov,1964-10-04,Andijan
4,Nur Bekmurodova,1982-10-04,Fergana
5,Aziza Sodiqov,1980-11-23,Samarkand
6,Madina Sultonova,1967-02-26,Tashkent
7,Abdul Yusupov,1996-02-19,Navoi
8,Sardor Axmadova,1962-02-13,Samarkand
9,Siroj Toshpulatova,1989-06-28,Khorezm
10,Abdul Bekmurodova,1981-02-10,Samarkand
11,Sardor Bekmurodova,1993-11-14,Jizzakh
12,Madina Axmadova,1972-10-14,Fergana
13,Bekzod Sodiqov,1954-08-13,Fergana
14,Javlon Karimov,1952-02-09,Namangan
15,Laylo Qodirov,1956-08-30,Jizzakh
16,Rustam Rahmonov,1964-07-17,Fergana
17,Dilshod Toshpolatov,1963-10-31,Jizzakh
18,Rustam Usmanova,1967-07-31,Bukhara
19,Aziza Eshmatov,1998-02-06,Samarkand
20,Nur Ochilov,2004-02-16,Tashkent
21,Mavluda Toshpulatova,1967-07-07,Namangan
22,Javlon Sultonova,1973-09-23,Surxondaryo
23,Bekzod Bekmurodova,2001-11-11,Navoi
24,Nur Eshmatov,2000-06-18,Jizzakh
25,Aziza Bekmurodova,1957-07-10,Bukhara
26,Gulbahor Toshpulatova,1950-07-09,Namangan
27,Mavluda Sodiqov,2002-05-06,Jizzakh
28,Sardor Yusupov,1958-03-25,Andijan
29,Otabek Axmadova,1955-03-15,Navoi
30,Gulbahor Yusupov,1953-06-21,Surxondaryo
31,Kamila Usmanova,1999-01-16,Samarkand
32,Anvar Rahmonov,1981-03-13,Surxondaryo
33,Bekzod Ochilov,1959-09-27,Bukhara
34,Laylo Ochilov,1960-08-26,Tashkent
35,Mavluda Toshpolatov,1974-03-14,Surxondaryo
36,Javlon Yusupov,1989-09-15,Samarkand
37,Zarina Islomova,1979-02-05,Fergana
38,Sevara Axmadova,1974-01-27,Tashkent
39,Laylo Mullajanov,1978-11-25,Surxondaryo
40,Anvar Rahmonov,1978-01-27,Bukhara
41,Sevara Axmadova,1973-02-02,Khorezm
42,Rustam Sultonova,1978-01-07,Fergana
43,Kamila Sultonova,1980-02-29,Jizzakh
44,Rustam Eshmatov,1957-02-25,Surxondaryo
45,Javlon Yusupov,1993-03-23,Fergana
46,Sardor Sodiqov,1996-12-24,Samarkand
47,Rustam Toshpolatov,1983-06-03,Bukhara
48,Nilufar Eshmatov,1972-07-10,Surxondaryo
49,Bekzod Rashidov,1989-10-24,Samarkand
50,Javlon Rashidov,1958-08-19,Tashkent
51,Kamila Bekmurodova,1954-05-05,Tashkent
52,Sevara Rahmonov,1960-10-18,Bukhara
53,Alisher Qodirov,2003-04-10,Jizzakh
54,Alisher Eshmatov,1952-10-18,Bukhara
55,Mavluda Axmadova,1981-11-27,Jizzakh
56,Dilshod Qurbanov,1979-08-02,Jizzakh
57,Nilufar Yusupov,1986-09-26,Khorezm
58,Otabek Usmanova,2005-05-19,Khorezm
59,Dilshod Islomova,1971-11-16,Navoi
60,Madina Toshpulatova,1976-07-15,Bukhara
61,Aziza Eshmatov,1985-07-26,Jizzakh
62,Anvar Toshpulatova,1968-10-26,Fergana
63,Bekzod Qurbanov,1965-07-16,Fergana
64,Javlon Bekmurodova,1950-06-11,Namangan
65,Abdul Usmanova,1961-10-07,Bukhara
66,Sevara Rahmonov,1952-09-22,Namangan
67,Rustam Usmanova,1981-07-31,Andijan
68,Gulbahor Qodirov,1970-11-21,Khorezm
69,Laylo Mullajanov,1952-10-13,Andijan
70,Abdul Rahmonov,1973-05-09,Samarkand
71,Siroj Islomova,1997-04-06,Samarkand
72,Siroj Usmanova,1975-05-18,Surxondaryo
73,Gulbahor Qurbanov,1983-05-13,Jizzakh
74,Zarina Toshpolatov,1967-05-03,Samarkand
75,Dilshod Ochilov,1973-06-20,Jizzakh
76,Laylo Bekmurodova,1969-09-26,Bukhara
77,Siroj Karimov,1964-06-12,Namangan
78,Zarina Sahak,2000-07-03,Namangan
79,Nilufar Karimov,1995-01-13,Fergana
80,Nur Ochilov,1994-05-26,Andijan
81,Gulbahor Axmadova,1971-12-03,Namangan
82,Otabek Axmadova,1957-01-12,Navoi
83,Alisher Yusupov,1955-07-21,Navoi
84,Aziza Hamidova,1957-05-19,Namangan
85,Aziza Bekmurodova,1992-03-23,Navoi
86,Dilshod Rashidov,1964-05-25,Samarkand
87,Nilufar Bekmurodova,1968-06-11,Navoi
88,Laylo Rahmonov,1951-01-27,Navoi
89,Siroj Toshpulatova,1988-04-17,Navoi
90,Madina Toshpolatov,1984-09-05,Navoi
91,Sevara Toshpolatov,1966-02-18,Khorezm
92,Gulbahor Eshmatov,1959-10-02,Navoi
93,Mavluda Mullajanov,1966-12-07,Tashkent
94,Siroj Mullajanov,2003-05-06,Namangan
95,Nur Axmadova,1972-12-23,Bukhara
96,Kamila Yusupov,1985-10-11,Bukhara
97,Rustam Karimov,1991-10-18,Tashkent
98,Alisher Bekmurodova,2003-05-11,Tashkent
99,Kamila Sodiqov,1956-09-20,Tashkent
100,Kamila Karimov,1982-05-30,Surxondaryo
101,Aziza Sultonova,1988-06-09,Tashkent
102,Kamila Yusupov,2002-05-03,Navoi
103,Otabek Sahak,1980-01-09,Jizzakh
104,Aziza Qurbanov,1976-09-23,Andijan
105,Kamila Rahmonov,1963-11-05,Navoi
106,Nilufar Toshpolatov,1990-12-05,Navoi
107,Sevara Rashidov,1972-03-16,Andijan
108,Alisher Sodiqov,1987-09-17,Namangan
109,Nilufar Axmadova,2005-05-16,Navoi
110,Nilufar Qodirov,1997-09-03,Navoi
111,Sardor Usmanova,1951-05-18,Surxondaryo
112,Nur Qodirov,1968-12-02,Samarkand
113,Mavluda Qodirov,1984-09-24,Tashkent
114,Madina Mullajanov,1950-07-26,Andijan
115,Otabek Usmanova,1998-12-03,Namangan
116,Otabek Eshmatov,1993-08-17,Navoi
117,Rustam Usmanova,1997-03-22,Namangan
118,Kamila Toshpolatov,2002-07-01,Samarkand
119,Sardor Bekmurodova,1973-12-21,Tashkent
120,Bekzod Rashidov,1983-11-27,Samarkand
121,Madina Islomova,1999-09-02,Andijan
122,Javlon Mullajanov,1990-07-30,Navoi
123,Kamila Yusupov,1970-09-27,Jizzakh
124,Bekzod Bekmurodova,1967-06-15,Jizzakh
125,Nur Sultonova,1954-08-06,Navoi
126,Sevara Karimov,2003-09-26,Samarkand
127,Aziza Axmadova,1952-11-25,Surxondaryo
128,Laylo Qodirov,1994-05-08,Jizzakh
129,Nilufar Hamidova,1977-02-22,Bukhara
130,Sardor Eshmatov,2003-07-03,Jizzakh
131,Otabek Islomova,1979-08-14,Surxondaryo
